zip,foreclosures_sum
20772,2710
21206,2480
20774,2467
20744,2193
20743,2010
21207,2005
21215,1942
21222,1912
21229,1857
20735,1854
20747,1691
21234,1629
20748,1594
20601,1568
21122,1447
20706,1356
21133,1351
21740,1339
21213,1324
21220,1264
20603,1256
21216,1240
20785,1237
21239,1227
21061,1223
21117,1204
20602,1202
21060,1184
20721,1170
21921,1159
21701,1125
21221,1095
21214,1083
21218,1078
21224,1047
20874,1046
21244,998
20746,936
21040,914
20613,868
21225,850
21502,850
21227,844
20657,839
21237,839
21236,810
20707,809
21208,806
20906,781
21230,781
21009,779
20720,776
20716,769
20784,754
21001,752
20705,750
20695,741
20745,739
21136,733
21217,716
21228,693
20607,660
20715,659
21144,652
20904,636
20879,630
20659,629
20783,626
21212,620
21703,615
21804,598
21045,590
21223,574
20653,571
21113,562
20640,554
20646,548
21044,534
20723,519
21784,498
21157,496
21801,491
21085,482
20616,480
21014,479
20878,465
20886,454
21742,454
20782,441
20902,433
21015,427
21078,420
21901,417
20724,400
20770,384
21075,384
20678,377
21771,373
20871,365
21401,358
21403,358
21076,353
21702,345
21114,342
20876,335
21811,332
20708,331
21842,327
21158,325
21613,325
20877,319
20853,316
21666,314
20901,308
21074,308
21409,306
21629,301
21012,294
21037,289
21787,279
21205,278
20732,277
20866,277
21093,275
21774,273
20619,271
21643,271
20639,267
20737,267
21102,265
21601,265
20854,253
21219,251
21043,247
21911,244
21209,243
21875,243
20832,241
21788,241
21108,237
20740,235
21632,234
20850,224
20905,222
21202,220
20685,216
21550,214
21286,212
21716,210
21704,209
21042,208
21146,208
21211,206
20634,204
21231,204
20794,201
21050,200
21532,199
21617,199
21853,198
20852,194
21793,191
21713,190
20769,188
21128,188
21226,188
21620,187
20781,186
20912,182
20882,181
20903,180
20650,177
21048,177
21017,176
20851,175
20722,173
20910,171
21639,171
21030,168
21638,166
21046,164
21783,163
20637,161
21054,157
21903,153
21851,150
21162,149
21817,144
20636,143
20872,143
21047,142
20623,139
20855,138
21090,138
21904,133
20714,130
21769,125
21795,125
20764,124
21619,122
20817,120
21758,119
21782,118
21154,113
21660,113
20736,107
20814,106
20710,104
21826,104
20676,102
20895,102
21032,102
21562,102
21201,100
21850,99
21754,98
21161,97
21722,96
21776,96
21084,95
20815,93
21756,91
21797,91
20664,89
21750,88
21791,88
20841,87
21770,87
20833,85
21863,85
21830,84
20662,82
21655,82
21545,81
21623,80
20837,79
20622,77
20712,77
20754,77
21919,77
21087,75
21163,74
21661,74
21152,73
21755,71
21837,71
21034,69
21131,68
21651,67
21035,66
21204,64
21727,64
20675,62
20733,60
20689,58
21631,58
21658,57
21915,57
20861,56
21710,55
21918,55
21120,54
21640,54
21029,53
21871,52
21557,51
21849,51
21822,50
21528,48
21053,47
21673,47
20618,46
20677,46
21917,46
21539,45
21561,45
21028,44
21757,44
21160,42
21874,42
20751,41
21111,41
21838,41
21542,40
21625,40
21773,40
21536,39
21668,39
20759,38
21104,38
21678,38
21914,37
21733,36
21794,36
20711,35
20645,34
20816,34
21520,34
21140,33
20658,32
21663,32
20776,31
21132,31
21155,31
21210,31
21521,31
21636,31
20621,30
21912,30
21913,30
20611,29
20620,29
21555,28
21861,28
20688,27
21664,27
20608,26
